refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.197,6,0,4530,cluster11,cluster11
0.129732,6,0,4520,cluster11,cluster11
0.133966,6,0,4510,cluster11,cluster11
0.377803,0,0,12300,cluster3,cluster11
0.009857,5,1,22410,cluster11,cluster11
0,5,1,22400,cluster11,cluster11
0.36995,0,0,12270,cluster3,cluster11
0,5,1,22390,cluster11,cluster11
0,5,1,22380,cluster11,cluster11
0.378273,0,0,12250,cluster3,cluster11
0,5,1,22370,cluster11,cluster11
0.37512,0,0,12240,cluster3,cluster11
0,5,1,22360,cluster11,cluster11
0,5,1,22350,cluster11,cluster11
0,5,1,22340,cluster11,cluster11
0,5,1,22330,cluster11,cluster11
0,5,1,22320,cluster11,cluster11
0.030449,0,0,21580,cluster11,cluster11
0.028735,0,0,21570,cluster11,cluster11
0.037217,0,0,21560,cluster11,cluster11
0.031883,0,0,21550,cluster11,cluster11
0.035517,0,0,21540,cluster11,cluster11
0.034316,0,0,21530,cluster11,cluster11
0.041617,0,0,21520,cluster11,cluster11
0.034383,0,0,21500,cluster11,cluster11
0.133183,1,1,2490,cluster16,cluster11
0.188083,1,1,2480,cluster11,cluster11
0.189999,1,1,2470,cluster11,cluster11
0.181033,1,1,2460,cluster11,cluster11
0.106351,1,1,2420,cluster11,cluster11
0.106099,1,1,2410,cluster11,cluster11
0,4,1,17310,cluster11,cluster11
0,4,1,17300,cluster11,cluster11
0,4,1,17290,cluster11,cluster11
0,4,1,17280,cluster11,cluster11
0.05174,4,1,17270,cluster11,cluster11
0.086056,4,1,17260,cluster11,cluster11
0,4,1,17250,cluster11,cluster11
0,4,1,17240,cluster11,cluster11
0,4,1,17230,cluster11,cluster11
0,0,1,19500,cluster11,cluster11
0,0,1,19490,cluster11,cluster11
0,0,1,19480,cluster11,cluster11
0,0,1,19470,cluster11,cluster11
0.143849,6,0,4500,cluster11,cluster11
0,0,1,19460,cluster11,cluster11
0.139166,6,0,4490,cluster11,cluster11
0,0,1,19450,cluster11,cluster11
0.149616,6,0,4480,cluster11,cluster11
0,0,1,19440,cluster11,cluster11
0.134617,6,0,4470,cluster11,cluster11
0,0,1,19430,cluster11,cluster11
0.130283,6,0,4460,cluster11,cluster11
0,0,1,19420,cluster11,cluster11
0.1471,6,0,4450,cluster11,cluster11
0,0,1,19410,cluster11,cluster11
0.123816,6,0,4440,cluster11,cluster11
0.144883,6,0,4430,cluster11,cluster11
0.134334,6,0,4420,cluster11,cluster11
0.138017,6,0,4410,cluster11,cluster11
0,5,1,22310,cluster11,cluster11
0,5,1,22300,cluster11,cluster11
0,5,1,22290,cluster11,cluster11
0,5,1,22280,cluster11,cluster11
0,5,1,22270,cluster11,cluster11
0,5,1,22260,cluster11,cluster11
0,5,1,22250,cluster11,cluster11
0,5,1,22240,cluster11,cluster11
0,5,1,22230,cluster11,cluster11
0,0,0,21450,cluster11,cluster11
0,0,0,21440,cluster11,cluster11
0,0,0,21430,cluster11,cluster11
0,0,0,21420,cluster11,cluster11
0.107183,1,1,2400,cluster11,cluster11
0.104551,1,1,2390,cluster11,cluster11
0.104417,1,1,2380,cluster11,cluster11
0.106616,1,1,2370,cluster11,cluster11
0.106949,1,1,2360,cluster11,cluster11
0.108867,1,1,2350,cluster11,cluster11
0.107017,1,1,2340,cluster11,cluster11
0.105884,1,1,2330,cluster11,cluster11
0.1043,1,1,2320,cluster11,cluster11
0.195832,4,1,16370,cluster11,cluster3
0,4,1,13400,cluster11,cluster11
0,4,1,13390,cluster11,cluster11
0,4,1,13380,cluster11,cluster11
0,4,1,13370,cluster11,cluster11
0,4,1,13360,cluster11,cluster11
0,4,1,13350,cluster11,cluster11
0,4,1,13340,cluster11,cluster11
0,4,1,13330,cluster11,cluster11
0,4,1,13320,cluster11,cluster11
0,4,1,13310,cluster11,cluster11
0,0,1,19400,cluster11,cluster11
0,0,1,19390,cluster11,cluster11
0,0,1,19380,cluster11,cluster11
0,0,1,19370,cluster11,cluster11
0.141767,6,0,4400,cluster11,cluster11
0,0,1,19360,cluster11,cluster11
0.1306,6,0,4390,cluster11,cluster11
0,0,1,19350,cluster11,cluster11
0.132316,6,0,4380,cluster11,cluster11
0,0,1,19340,cluster11,cluster11
0.1266,6,0,4370,cluster11,cluster11
0.302116,1,1,3270,cluster11,cluster3
0,0,1,19330,cluster11,cluster11
0.145283,6,0,4360,cluster11,cluster11
0.304816,1,1,3260,cluster11,cluster3
0,0,1,19320,cluster11,cluster11
0.114034,6,0,4350,cluster11,cluster11
0,0,1,19310,cluster11,cluster11
0.033867,6,0,4340,cluster11,cluster11
0.065149,6,0,4330,cluster11,cluster11
0.055551,6,0,4320,cluster11,cluster11
0.034334,6,0,4310,cluster11,cluster11
0,5,1,22200,cluster11,cluster11
0.013066,0,0,21390,cluster11,cluster11
0.01095,0,0,21380,cluster11,cluster11
0.029334,0,0,21370,cluster11,cluster11
0.012467,0,0,21340,cluster11,cluster11
0.037634,0,0,21330,cluster11,cluster11
0,0,0,21310,cluster11,cluster11
0,0,0,21300,cluster11,cluster11
0.189383,1,1,2280,cluster11,cluster11
0.1137,1,1,2270,cluster16,cluster11
0.111483,1,1,2250,cluster16,cluster11
0.120167,1,1,2240,cluster16,cluster11
0.11305,1,1,2210,cluster16,cluster11
0,4,1,13300,cluster11,cluster11
0,4,1,13290,cluster11,cluster11
0,4,1,13280,cluster11,cluster11
0,4,1,13270,cluster11,cluster11
0,4,1,13260,cluster11,cluster11
0,4,1,13250,cluster11,cluster11
0,4,1,13240,cluster11,cluster11
0,4,1,13230,cluster11,cluster11
0,4,1,13220,cluster11,cluster11
0,4,1,13210,cluster11,cluster11
0,0,1,19300,cluster11,cluster11
0,0,1,19290,cluster11,cluster11
0,0,1,19280,cluster11,cluster11
0,0,1,19270,cluster11,cluster11
0.05415,6,0,4300,cluster11,cluster11
