refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.650818,3,1,550,cluster11,cluster15
0.129316,6,0,8530,cluster11,cluster11
0,3,1,3250,cluster11,cluster11
0.011764,6,0,17560,cluster11,cluster11
0.567082,3,1,4160,cluster11,cluster11
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
0.364566,5,1,2040,cluster11,cluster7
