@relation mrgD3train-weka.filters.unsupervised.attribute.Remove-R2

@attribute refinedUse numeric
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0.202824,1,23160,cluster3
0.116349,1,3350,cluster16
0.202824,1,23160,cluster3
0.116349,1,3350,cluster16
0.43255,1,11570,cluster16
1.9466,1,8180,cluster4
4.19243,1,12450,cluster5
0.240597,0,9250,cluster15
1.9466,1,8180,cluster4
0.102067,1,380,cluster16
0,0,9090,cluster15
0.791,0,540,cluster7
2.3589,1,370,cluster17
0.791,0,540,cluster7
2.3589,1,370,cluster17
0.04985,0,18240,cluster17
1.2596,1,300,cluster17
0.123283,1,3340,cluster16
0.300768,1,0,cluster7
2.32333,1,12490,cluster5
0.770083,0,350,cluster7
1.60687,1,10070,cluster4
0.658766,0,170,cluster7
1.25192,1,450,cluster3
0.439934,0,340,cluster7
2.13445,0,8190,cluster9
2.13445,0,8190,cluster9
0.038717,0,17800,cluster6
0.038717,0,17800,cluster6
2.9712,0,8270,cluster5
2.2294,1,5040,cluster6
2.2294,1,5040,cluster6
1.59175,0,7590,cluster9
2.2294,1,5040,cluster6
0,0,9110,cluster15
1.10449,1,23280,cluster3
0.526633,1,4070,cluster9
0,0,9110,cluster15
2.0518,1,8470,cluster4
1.68237,1,9470,cluster4
0.381701,1,23530,cluster9
0.478937,0,8500,cluster7
0.452516,1,23330,cluster3
0.452516,1,23330,cluster3
0.10937,0,10140,cluster15
0.331266,1,11440,cluster15
0.478937,0,8500,cluster7
0.331266,1,11440,cluster15
0.733699,1,3140,cluster18
0.0846,1,4350,cluster11
0.150934,1,16490,cluster11
0.655119,1,23440,cluster6
0.148134,1,16520,cluster11
1.12917,1,3410,cluster12
1.11838,1,3370,cluster12
0,1,10090,cluster11
0.530966,0,16490,cluster17
0.133134,1,3370,cluster16
2.6527,1,3480,cluster12
1.7273,0,8090,cluster9
1.9253,1,7550,cluster4
0.912783,1,23260,cluster3
0.805646,1,3470,cluster9
1.9253,1,7550,cluster4
0.050123,1,23320,cluster3
2.38587,1,6400,cluster5
1.86765,1,3290,cluster12
1.64745,1,8120,cluster4
0.58815,1,11560,cluster9
0.58815,1,11560,cluster9
0.1413,0,18180,cluster17
1.92665,0,11000,cluster6
1.21342,1,3380,cluster12
1.0708,1,4530,cluster9
2.02865,1,3280,cluster18
1.0708,1,4530,cluster9
1.8487,0,16560,cluster17
1.82128,1,13570,cluster19
0.453637,0,9030,cluster15
2.61135,1,14380,cluster5
1.24378,1,480,cluster3
2.35227,1,4210,cluster19
2.05878,1,12490,cluster5
2.05878,1,12490,cluster5
1.7273,0,8090,cluster9
0.116349,1,3350,cluster16
1.7273,0,8090,cluster9
0.43255,1,11570,cluster16
0.278264,0,9070,cluster15
2.40878,1,4290,cluster19
2.6412,1,3530,cluster12
1.87387,1,13240,cluster19
1.90617,1,3340,cluster12
0.39835,1,23580,cluster7
1.90617,1,3340,cluster12
0.39835,1,23580,cluster7
1.82128,1,13570,cluster19
0.088151,0,6210,cluster11
2.64752,1,14370,cluster5
0.327184,1,8560,cluster6
1.13978,1,13500,cluster19
0.088151,0,6210,cluster11
0.535684,1,4140,cluster3
0.39835,1,23580,cluster7
0.183483,0,5270,cluster11
0.39835,1,23580,cluster7
0.501803,0,8430,cluster7
0.194699,0,4300,cluster18
0.116349,1,3350,cluster16
2.74917,1,3460,cluster12
0.180383,0,18360,cluster17
0.180383,0,18360,cluster17
1.629,1,10050,cluster4
0.102067,1,380,cluster16
2.0221,1,4540,cluster6
0.580866,1,4100,cluster3
0.102067,1,380,cluster16
0.569717,0,480,cluster7
1.71603,1,13150,cluster5
0.286434,1,12260,cluster9
0.286434,1,12260,cluster9
1.62758,1,8390,cluster4
0.102067,1,380,cluster16
0.116349,1,3350,cluster16
1.62758,1,8390,cluster4
1.64692,1,8210,cluster4
2.20145,1,340,cluster17
1.3193,1,3260,cluster18
1.5704,1,3440,cluster12
0.1836,1,23170,cluster3
0.344263,1,11450,cluster15
0.116349,1,3350,cluster16
0.344263,1,11450,cluster15
2.62658,1,12470,cluster5
1.80665,1,3310,cluster12
0.636482,0,300,cluster7
0.254214,0,10170,cluster15
0.123285,1,21560,cluster11
1.10449,1,23280,cluster3
2.21398,1,8550,cluster4
2.98482,0,8280,cluster5
0.477533,1,4210,cluster3
1.4726,1,3530,cluster18
2.5874,1,3510,cluster12
0.062283,1,8430,cluster11
1.30885,1,3420,cluster12
2.5874,1,3510,cluster12
0.062283,1,8430,cluster11
1.30885,1,3420,cluster12
0.123699,1,3380,cluster16
1.68927,1,8010,cluster4
0.09593,1,2070,cluster6
1.23842,1,310,cluster17
0,0,9110,cluster15
0.59805,0,5420,cluster18
0.09593,1,2070,cluster6
0,0,9110,cluster15
0.02485,0,14180,cluster11
0.4561,1,12290,cluster9
0.297767,0,18170,cluster17
1.84128,1,10320,cluster19
0.71735,1,23320,cluster6
0.02485,0,14180,cluster11
0.297767,0,18170,cluster17
0.385154,1,15430,cluster3
0.196807,0,10150,cluster15
0.49007,0,8440,cluster7
0.49007,0,8440,cluster7
1.74122,1,13530,cluster19
1.85273,1,13580,cluster19
1.61335,1,8310,cluster4
1.78753,1,3450,cluster12
0.466134,1,12360,cluster9
2.7075,1,3520,cluster12
2.7075,1,3520,cluster12
0.425051,0,450,cluster7
3.2878,1,13230,cluster5
2.32333,1,12490,cluster5
1.93233,1,9550,cluster4
1.32975,1,3580,cluster18
0,0,2420,cluster11
2.02532,1,12360,cluster5
2.9712,0,8270,cluster5
1.99257,1,8150,cluster4
0,1,3290,cluster11
0.791,0,540,cluster7
2.7625,1,120,cluster6
0.846416,1,4480,cluster6
