@relation mrgB-3train

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.797867,5,0,5130,cluster14
0.743534,4,1,18460,cluster8
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
0.033467,3,1,3490,cluster8
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
0.180399,0,0,4030,cluster11
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
0.180399,0,0,4030,cluster11
2.04855,2,1,8060,cluster4
0.11055,4,1,14160,cluster11
0.040683,3,1,3480,cluster8
2.04855,2,1,8060,cluster4
0.11055,4,1,14160,cluster11
0.071008,5,1,9180,cluster11
0.194201,6,0,3060,cluster11
0.194201,6,0,3060,cluster11
0.194201,6,0,3060,cluster11
0.607432,4,1,2430,cluster8
1.93118,3,1,4590,cluster6
1.93118,3,1,4590,cluster6
1.89105,3,1,13270,cluster6
1.89105,3,1,13270,cluster6
0.050183,4,1,19550,cluster8
0,4,1,19540,cluster8
0.5257,6,0,23560,cluster6
2.4876,4,1,9260,cluster6
0,4,1,19540,cluster8
0.759767,5,0,5520,cluster14
0.759767,5,0,5520,cluster14
0.759767,5,0,5520,cluster14
