@relation 1train-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R3

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.459867,6,0,150,cluster15
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.04225,6,0,23280,cluster10
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.822799,4,1,5220,cluster14
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.822799,4,1,5220,cluster14
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.822799,4,1,5220,cluster14
0.487501,6,0,140,cluster7
2.35315,1,1,10260,cluster16
0.659216,4,1,14270,cluster3
0.822799,4,1,5220,cluster14
0.189184,2,1,5060,cluster8
0.659216,4,1,14270,cluster3
0.822799,4,1,5220,cluster14
0.4871,6,0,130,cluster7
0.0369,6,0,23310,cluster10
0.659216,4,1,14270,cluster3
0.822799,4,1,5220,cluster14
0.0369,6,0,23310,cluster10
0.063067,6,0,23590,cluster10
0.822799,4,1,5220,cluster14
0.822799,4,1,5220,cluster14
0.822799,4,1,5220,cluster14
0.518534,4,1,1310,cluster15
0.518534,4,1,1310,cluster15
0.518534,4,1,1310,cluster15
0.002649,0,1,22380,cluster11
1.70455,4,1,5210,cluster4
0.002649,0,1,22380,cluster11
1.70455,4,1,5210,cluster4
0.19635,2,1,21280,cluster1
0.19635,2,1,21280,cluster1
1.6983,3,1,14240,cluster6
1.6983,3,1,14240,cluster6
0.0133,4,1,1160,cluster11
0.568466,5,0,11430,cluster2
0.568466,5,0,11430,cluster2
0.568466,5,0,11430,cluster2
0.568466,5,0,11430,cluster2
0.872666,1,1,15090,cluster6
0.872666,1,1,15090,cluster6
0.872666,1,1,15090,cluster6
0,0,0,3030,cluster11
0.605233,3,1,21020,cluster8
0.723783,3,1,12340,cluster6
0.025884,6,0,16180,cluster11
0.723783,3,1,12340,cluster6
0.025884,6,0,16180,cluster11
0.723783,3,1,12340,cluster6
0.087484,0,0,3010,cluster11
0.722451,0,0,190,cluster1
0.083567,2,1,6050,cluster11
0.219933,6,0,4410,cluster8
0.534632,0,0,4590,cluster0
0.083567,2,1,6050,cluster11
0.724966,5,1,13440,cluster1
0.316247,0,0,3000,cluster11
0.534632,0,0,4590,cluster0
1.14357,0,0,4570,cluster8
0.316247,0,0,3000,cluster11
0.285633,3,1,5180,cluster8
0,3,1,2110,cluster11
0.312916,6,0,4260,cluster8
0,4,1,11120,cluster11
0,3,1,2110,cluster11
0.500767,5,1,1280,cluster7
0,4,1,11120,cluster11
0,3,1,2100,cluster11
0.500767,5,1,1280,cluster7
0.648101,4,1,20150,cluster8
0.500767,5,1,1280,cluster7
0.500767,5,1,1280,cluster7
0.500767,5,1,1280,cluster7
0,4,1,10320,cluster11
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0.109084,1,1,23040,cluster8
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0,6,0,2120,cluster11
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0,6,0,2120,cluster11
0.499616,3,1,16080,cluster3
1.46655,4,1,4060,cluster14
0.8368,3,1,12520,cluster10
0.499616,3,1,16080,cluster3
0.8368,3,1,12520,cluster10
0.499616,3,1,16080,cluster3
0.8368,3,1,12520,cluster10
0.7229,5,1,11150,cluster1
0.7229,5,1,11150,cluster1
0.692176,5,1,11010,cluster7
0.692176,5,1,11010,cluster7
0.748137,3,1,1170,cluster3
0,5,1,22230,cluster10
0.060733,1,1,19340,cluster8
0.748137,3,1,1170,cluster3
0.693883,1,1,1180,cluster2
0.748137,3,1,1170,cluster3
0.825267,5,1,11260,cluster1
0,5,1,12150,cluster11
0.748137,3,1,1170,cluster3
2.03348,0,0,10160,cluster1
0,5,1,12150,cluster11
0.693883,1,1,1180,cluster2
0.748137,3,1,1170,cluster3
2.03348,0,0,10160,cluster1
0,4,1,5280,cluster0
0.693883,1,1,1180,cluster2
0.748137,3,1,1170,cluster3
0.85935,5,1,11250,cluster1
0.693883,1,1,1180,cluster2
1.04027,4,1,1520,cluster0
0.85935,5,1,11250,cluster1
0,4,1,5280,cluster0
1.04027,4,1,1520,cluster0
2.02257,0,0,10150,cluster1
0.839882,5,1,14090,cluster1
0.37475,4,1,14500,cluster1
1.04027,4,1,1520,cluster0
2.02257,0,0,10150,cluster1
0.839882,5,1,14090,cluster1
1.99962,4,1,3060,cluster5
0.196917,1,1,2020,cluster10
0.521634,0,0,4370,cluster0
1.99962,4,1,3060,cluster5
1.99962,4,1,3060,cluster5
0.4871,6,0,130,cluster7
0.4871,6,0,130,cluster7
0.0369,6,0,23310,cluster10
0.063067,6,0,23590,cluster10
0.4871,6,0,130,cluster7
0.495881,4,1,14090,cluster6
0.063067,6,0,23590,cluster10
0.4871,6,0,130,cluster7
0.495881,4,1,14090,cluster6
0.431016,6,0,15360,cluster0
0.822799,4,1,5220,cluster14
0.4871,6,0,130,cluster7
0.495881,4,1,14090,cluster6
0.431016,6,0,15360,cluster0
0.822799,4,1,5220,cluster14
0,6,0,21200,cluster11
0.059067,1,1,19290,cluster8
0.431016,6,0,15360,cluster0
0.822799,4,1,5220,cluster14
0.5164,3,1,20020,cluster8
0.147951,0,0,14250,cluster10
0.822799,4,1,5220,cluster14
0.147951,0,0,14250,cluster10
0.822799,4,1,5220,cluster14
0.489468,6,0,120,cluster7
0.568284,6,0,15180,cluster6
0.147951,0,0,14250,cluster10
0.822799,4,1,5220,cluster14
2.36388,1,1,9010,cluster1
0.489468,6,0,120,cluster7
0.096968,2,1,5230,cluster8
0.50425,3,1,14240,cluster6
0.18125,2,1,5050,cluster8
0.224947,2,1,380,cluster1
0.50425,3,1,14240,cluster6
0.902303,5,1,7310,cluster0
0.50425,3,1,14240,cluster6
0.902303,5,1,7310,cluster0
0.034617,6,0,23270,cluster10
0.202285,5,1,7300,cluster0
0.029284,0,1,22370,cluster11
0.029284,0,1,22370,cluster11
0.202285,5,1,7300,cluster0
0.205184,2,1,21270,cluster1
0.205184,2,1,21270,cluster1
