@relation 'week1_v4_clustered-weka.filters.unsupervised.attribute.Remove-R4-6,8-30-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Day numeric
@attribute Time numeric
@attribute 'use [kW]_y' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1,132500,1.42405,cluster12
1,114600,0.903933,cluster19
1,222600,0.844367,cluster4
0,140200,0.542083,cluster8
1,15400,1.105083,cluster13
1,222200,0.878733,cluster4
1,230400,1.040867,cluster4
1,173200,2.165583,cluster5
0,71800,0.955617,cluster18
1,210900,1.29815,cluster0
1,14600,0.973483,cluster13
1,224700,0.9014,cluster4
1,11000,0.974933,cluster13
1,141000,0.77795,cluster19
1,233800,1.9521,cluster1
1,61700,1.041617,cluster6
0,102300,0.88755,cluster7
0,70900,1.510217,cluster10
1,92500,1.265783,cluster19
1,124700,0.948217,cluster9
1,81500,1.0651,cluster13
1,105500,1.684217,cluster16
0,180900,1.877883,cluster17
1,123700,0.428383,cluster11
1,231200,5.16,cluster2
1,44900,0.426867,cluster11
1,133700,1.250633,cluster12
1,121800,0.683067,cluster9
1,134300,0.536667,cluster11
1,184900,0.972933,cluster9
1,81500,0.6634,cluster11
1,80800,1.096683,cluster19
1,204800,1.370467,cluster4
0,20900,1.083017,cluster18
1,202600,1.27745,cluster3
1,225800,6.4698,cluster0
1,194000,1.254933,cluster0
0,115700,1.325767,cluster8
1,104100,0.392583,cluster11
0,200900,1.522667,cluster14
1,154800,1.291817,cluster5
1,30900,0.943217,cluster19
0,2100,1.49695,cluster18
1,41300,0.94135,cluster19
1,205900,0.727067,cluster9
1,62000,0.648867,cluster6
1,40300,0.4249,cluster11
1,84500,1.135333,cluster13
1,205000,0.674317,cluster4
1,123600,1.448017,cluster12
1,71900,1.286917,cluster13
1,95900,0.621167,cluster11
1,162300,1.416533,cluster2
1,190600,1.749617,cluster2
1,213900,0.889617,cluster4
0,44200,0.424417,cluster15
0,163000,1.39395,cluster7
1,35800,0.895717,cluster6
