refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.04255,4,0,1,17570,cluster13
0.137766,4,0,1,17560,cluster13
0.153435,4,0,1,17550,cluster13
0.149366,4,0,1,17540,cluster13
0.133783,4,0,1,17530,cluster13
0.114567,4,0,1,17520,cluster13
0.057266,4,0,1,17510,cluster13
0.594866,4,2,1,5000,cluster13
0.599284,4,2,1,4590,cluster13
0.618567,4,2,1,4550,cluster13
0.209368,6,0,0,23000,cluster13
0.633617,4,2,1,4540,cluster13
0.2011,6,0,0,22590,cluster13
0.043767,6,0,0,22580,cluster13
0.038167,6,0,0,22570,cluster13
0.040899,6,0,0,22560,cluster13
0.032201,6,0,0,22550,cluster13
0.028816,6,0,0,22540,cluster13
0.036718,6,0,0,22530,cluster13
0.0392,6,0,0,22520,cluster13
0.047683,6,0,0,22510,cluster13
0.08655,4,0,1,17500,cluster13
0.1144,4,0,1,17490,cluster13
0.115033,4,0,1,17480,cluster13
0.11625,4,0,1,17470,cluster13
0.025184,4,0,1,17460,cluster13
0,4,0,1,17450,cluster13
0,4,0,1,17440,cluster13
0,4,0,1,17430,cluster13
0,4,0,1,17420,cluster13
0,4,0,1,17410,cluster13
0.628483,4,2,1,4480,cluster13
0.632051,4,2,1,4470,cluster13
0.615016,4,2,1,4460,cluster13
0.04105,6,0,0,22500,cluster13
0.031201,6,0,0,22490,cluster13
0.043316,6,0,0,22480,cluster13
0.039967,6,0,0,22470,cluster13
0.659767,4,2,1,4410,cluster13
0.046183,6,0,0,22460,cluster13
0.041649,6,0,0,22450,cluster13
0.03065,6,0,0,22440,cluster13
0.043099,6,0,0,22430,cluster13
0.042884,6,0,0,22420,cluster13
0.045499,6,0,0,22410,cluster13
0,4,0,1,17400,cluster13
0,4,0,1,17390,cluster13
0,4,0,1,17380,cluster13
0,4,0,1,17370,cluster13
0,4,0,1,17360,cluster13
0,4,0,1,17350,cluster13
0,4,0,1,17340,cluster13
0,4,0,1,17330,cluster13
0,4,0,1,17320,cluster13
0,4,0,1,17310,cluster13
0.073784,5,0,1,22360,cluster13
0.078833,5,0,1,22350,cluster13
0.067182,5,0,1,22340,cluster13
0.6628,4,2,1,4400,cluster13
0.504999,4,2,1,4330,cluster13
0.510683,4,2,1,4320,cluster13
0,4,0,1,17300,cluster13
0,4,0,1,17290,cluster13
0,4,0,1,17280,cluster13
0,4,0,1,17270,cluster13
0,4,0,1,17260,cluster13
0.026284,4,0,1,17250,cluster13
0.055451,4,0,1,17240,cluster13
0.030034,4,0,1,17230,cluster13
0.032666,4,0,1,17220,cluster13
0.034466,4,0,1,17210,cluster13
0.490149,4,2,1,4250,cluster13
0.502067,4,2,1,4240,cluster13
0.703783,4,2,1,4170,cluster13
0.656534,4,2,1,4160,cluster13
0.7049,4,2,1,4150,cluster13
0.676983,4,2,1,4100,cluster13
0.679151,4,2,1,4090,cluster13
0.709983,4,2,1,4040,cluster13
0.712068,4,2,1,4030,cluster13
0.115123,1,0,1,20420,cluster13
0.109504,1,0,1,20410,cluster13
0.113803,1,0,1,20400,cluster13
0,1,0,1,20390,cluster13
0,1,0,1,20380,cluster13
0.044966,1,0,1,20370,cluster13
0.051869,1,0,1,20360,cluster13
0.0517,1,0,1,20350,cluster13
0.071741,1,0,1,20340,cluster13
0.06007,1,0,1,20330,cluster13
0.058237,1,0,1,20320,cluster13
