'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
1.53625,3,3,1,7550,2.32165,cluster3
1.66285,3,3,1,7540,2.462967,cluster3
1.78522,3,3,1,7530,2.583967,cluster3
1.73338,3,3,1,7520,2.563283,cluster3
1.51208,3,3,1,7510,2.466083,cluster3
0.393167,5,0,0,14000,0.999367,cluster15
1.43717,0,3,0,12500,2.796133,cluster15
0.393733,5,3,0,13590,0.9988,cluster15
1.43923,0,3,0,12490,2.804217,cluster15
0.377283,5,3,0,13580,0.992967,cluster15
1.6308,0,3,0,12480,3.007683,cluster15
0.3782,5,3,0,13570,0.98095,cluster15
1.6551,0,3,0,12470,3.015183,cluster15
0.325783,5,3,0,13560,1.2341,cluster15
1.66308,0,3,0,12460,3.021,cluster15
0.250599,5,3,0,13550,1.64035,cluster15
1.66973,0,3,0,12450,3.037033,cluster15
0.232151,5,3,0,13540,1.673717,cluster15
1.59442,0,3,0,12440,2.9709,cluster15
0.249533,5,3,0,13530,1.671867,cluster15
1.25183,0,3,0,12430,2.7496,cluster15
0.250151,5,3,0,13520,1.682617,cluster15
1.15613,0,3,0,12420,2.686,cluster15
0.133533,0,0,0,21310,0.320567,cluster4
0.251317,5,3,0,13510,1.683067,cluster15
1.32698,0,3,0,12410,2.825517,cluster15
0.131056,0,0,0,21300,0.3199,cluster4
0.137837,0,0,0,21290,0.324283,cluster4
0.085051,4,3,1,7410,0.544417,cluster12
0.150933,0,0,0,21280,0.325233,cluster4
0.062407,4,3,1,7400,0.543817,cluster12
0.13244,0,0,0,21270,0.319717,cluster4
0.057807,4,3,1,7390,0.542183,cluster12
0.141437,0,0,0,21260,0.32,cluster3
0.2446,4,3,1,7380,0.5457,cluster12
0.158621,0,0,0,21250,0.320117,cluster4
0.22352,4,3,1,7370,0.512367,cluster12
0.161854,0,0,0,21240,0.322867,cluster4
0.140966,4,3,1,7360,0.430733,cluster12
0.117349,0,0,0,21230,0.326,cluster4
0.1489,4,3,1,7350,0.431517,cluster12
0.013407,0,0,0,21220,0.320217,cluster4
0.146106,4,3,1,7340,0.4318,cluster12
0.159784,4,3,1,7330,0.428367,cluster12
0.149383,4,3,1,7320,0.427667,cluster12
0.13699,1,0,1,21310,0.40875,cluster12
0.133074,1,0,1,21300,0.40505,cluster12
0.136124,1,0,1,21290,0.408267,cluster12
0,1,0,1,21280,0.408533,cluster12
0,1,0,1,21270,0.565267,cluster12
0,1,0,1,21260,0.972783,cluster12
0.002133,6,3,0,7000,0.8006,cluster5
